source_csv,audio_id,n_rows,n_unique_token_ids,speaker_num_values,group_values,n_speaker_keys
061ea7d0-Audio_SP16.csv,061ea7d0-Audio_SP16,3042,3042,1,group_0,1
0af9ac47-Audio_SP14.csv,0af9ac47-Audio_SP14,3609,3609,1,group_0,1
0e6115f2-Audio_SP19.csv,0e6115f2-Audio_SP19,3653,3653,1,group_0,1
0f786745-Audio_SP20.csv,0f786745-Audio_SP20,3821,3821,1,group_0,1
12c532f8-Audio_SP15.csv,12c532f8-Audio_SP15,3409,3409,1,group_0,1
181d5ce9-Audio_SP21.csv,181d5ce9-Audio_SP21,1757,1757,1,group_0,1
1c403477-Audio_SP13.csv,1c403477-Audio_SP13,3483,3483,1,group_0,1
1d46eb6e-Audio_SP18.csv,1d46eb6e-Audio_SP18,5153,5153,1,group_0,1
2988c6fc-Audio_SP13.csv,2988c6fc-Audio_SP13,2517,2517,1,group_0,1
2e25304d-Audio_SP12.csv,2e25304d-Audio_SP12,1265,1265,1,group_0,1
30a90cb2-Audio_SP21.csv,30a90cb2-Audio_SP21,3371,3371,1,group_0,1
3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,2307,2307,1,group_0,1
34ad326e-Audio_SP7.csv,34ad326e-Audio_SP7,1514,1514,1,group_0,1
375a28cd-Audio_SP16.csv,375a28cd-Audio_SP16,3560,3560,1,group_0,1
42d56bbf-Audio_SP23.csv,42d56bbf-Audio_SP23,10244,10244,1,group_0,1
49ae7020-Audio_SP17.csv,49ae7020-Audio_SP17,2472,2472,1,group_0,1
501e6487-Audio_SP19.csv,501e6487-Audio_SP19,5439,5439,1,group_0,1
514fc6b6-Audio_SP19.csv,514fc6b6-Audio_SP19,4355,4355,1,group_0,1
51a17262-Audio_SP18.csv,51a17262-Audio_SP18,2817,2817,1,group_0,1
5278b5b9-Audio_SP15.csv,5278b5b9-Audio_SP15,2037,2037,1,group_0,1
5586979c-Audio_SP18.csv,5586979c-Audio_SP18,4385,4385,1,group_0,1
5819ce7a-Audio_SP11.csv,5819ce7a-Audio_SP11,4050,4050,1,group_0,1
5a932187-audio_SP16.csv,5a932187-audio_SP16,4126,4126,1,group_0,1
63239054-Audio_SP15.csv,63239054-Audio_SP15,2771,2771,1,group_0,1
713a2f9b-Audio_SP16.csv,713a2f9b-Audio_SP16,3358,3358,1,group_0,1
7a414497-Audio_SP15.csv,7a414497-Audio_SP15,2273,2273,1,group_0,1
7aee4437-Audio_SP12.csv,7aee4437-Audio_SP12,1711,1711,1,group_0,1
7c3c98d2-Audio_SP13.csv,7c3c98d2-Audio_SP13,4339,4339,1,group_0,1
7dec1dd7-Audio_SP13.csv,7dec1dd7-Audio_SP13,2399,2399,1,group_0,1
7e277fda-Audio_SP28.csv,7e277fda-Audio_SP28,3539,3539,1,group_0,1
85c7895f-Audio_SP16.csv,85c7895f-Audio_SP16,5987,5987,1,group_0,1
919b9bc1-Audio_SP14.csv,919b9bc1-Audio_SP14,2220,2220,1,group_0,1
9a0c18cb-Audio_SP14.csv,9a0c18cb-Audio_SP14,2121,2121,1,group_0,1
a1a056ce-Audio_SP11.csv,a1a056ce-Audio_SP11,1705,1705,1,group_0,1
a452055c-Audio_SP11.csv,a452055c-Audio_SP11,3994,3994,1,group_0,1
adad0062-Audio_SP17.csv,adad0062-Audio_SP17,3893,3893,1,group_0,1
c3533b36-Audio_SP16.csv,c3533b36-Audio_SP16,2024,2024,1,group_0,1
cafd9c21-Audio_SP27.csv,cafd9c21-Audio_SP27,5198,5198,1,group_0,1
d4c363bf-Audio_SP13.csv,d4c363bf-Audio_SP13,3537,3537,1,group_0,1
dbeec025-Audio_SP13.csv,dbeec025-Audio_SP13,2814,2814,1,group_0,1
e90f8e4d-Audio_SP22.csv,e90f8e4d-Audio_SP22,2622,2622,1,group_0,1
f061152e-Audio_SP12.csv,f061152e-Audio_SP12,3019,3019,1,group_0,1
fcd45f4d-Audio_SP21.csv,fcd45f4d-Audio_SP21,2573,2573,1,group_0,1
